chicken	bird
eagle	bird
duck	bird
swan	bird
owl	bird
penguin	bird
peacock	bird
dog	ground-animal
elephant	ground-animal
cow	ground-animal
cat	ground-animal
lion	ground-animal
pig	ground-animal
snail	ground-animal
turtle	ground-animal
cherry	fruit-tree
banana	fruit-tree
pear	fruit-tree
pineapple	fruit-tree
mushroom	green
corn	green
lettuce	green
potato	green
onion	green
bottle	tool
pencil	tool
pen	tool
cup	tool
bowl	tool
scissors	tool
kettle	tool
knife	tool
screwdriver	tool
hammer	tool
spoon	tool
chisel	tool
telephone	tool
boat	vehicle
car	vehicle
ship	vehicle
truck	vehicle
rocket	vehicle
motorcycle	vehicle
helicopter	vehicle
